ā,吖呵啊𠼞𥥩腌𨉚锕錒阿
á,呵啊嗄
ǎ,啊阿
à,呵啊阿
a,呵啊嗄阿
āi,剴哀哎唉𠳳嗳噯𡉓埃娭𡟓挨捱𢰇欸溾㶼𤸖諰銰鎄锿
ái,𠊎凒厓呆啀嘊娾嵦挨捱敱敳㱯溰獃𤸳癌皑皚磑𦩴䔇𧪚䠹隑𩂢騃𫘤𩪂𩮖䶣
ǎi,乃佁唉嗳㗨噫噯𦥈奇娾㢊昹欸𣤃毐濭烠㾨矮絠䑂𦥂蔼藹𧡋謁譪躷䨠霭靄𩫇鯦
ài,乂伌僾儗㕌叆呃唉嗌嗳㗒噯𡁍㘷堨塧壒嫒嬡㝵㝶𡰽𡶃㤅愛𢟪𢟰懓懝𢣏𢣕暧曖𣋞𣎴𣜬𣝅欬𣩄𣩱焥爱𤢵瑷璦㾢㿄𤻢皧䀳瞹砹硋碍礙䅬𥡽𥤦𥴨𦗍𦗐𦤦艾䔽薆𧏹𧓁譺𧰿𧵨䝽賹醷鑀閡𨶂阨阸隘𩂒靉𩈋䬵餲馤鱫鴱𪇈𪕭
ān,侒厂啽𠽪媕㛺安𡯏㞄峖㡋广庵𢰍㫨桉㭺𣚖氨㸩痷盒䀂盦盫䅖腤菴萻葊蓭裺誝諳谙𧩸𧫥𧫧𧮍䢿䤃鉗䤶闇陰鞌鞍韽馣鮟𩽾鴳𪁟鵪鹌鶕黯𪘒
án,儑啽𡪁𡽜𣵱犴玵䜙雸
ǎn,侒俺𠉬匼𠪚唵𠿑垵埯㜝揞晻𤃷𤜁㽢碪䅖𥦍罯𦺽銨铵闇隌𩅝𩈴𪒠
àn,儑厈𠰑咹垾堓𡎑婩𡪙屽岸㟁𡹼干按𣆛晻暗案桉𣣚㱘洝𣽥犴𤞿𤟉𥏮䅁𥳬䎨胺荌𧖮𧫧豻貋遃錌𨲊闇頇頞𩓤䬓䮗䯥𩭢鮟𩹎黯𪒠
āng,𠵫𡕉肮腌醃骯
áng,仰卬岇昂昻㭿𤭒䀚䒢䩕𩑝𩔘䭹
ǎng,䇦𦫫𨋕䭺
àng,𠹃𡵙𢓋𣉗枊𣖮㼜盎醠𩉰𩜟
āo,凹㕭坳㩠柪梎棍泑𤇯熝熬𤏶爊眑䆟𧅃𧨲軪䫜𩥊鴢𪃨
áo,傲厫嗷嗸嚣囂𡊛𡏼墽嶅㟼㠂廒慠𢧴摮𢳆敖𣊁𣷫滶熬獒獓璈㿰𥂢磝磽礉翱翶翺聱𦪈蔜螯䚫謷謸遨鏕鏖䥝䦋隞𩘮𩮯𩱏鳌鰲𪉑鷔䵅鼇
ǎo,㑃媪媼𢁱㤇抝拗眑𥜌䉛䐿芺𦽀蝹袄襖郩镺𨱧𩈏𩑤𩣻䯠鴁𪁾䴈
